Name,General contractor/JV,JV / parents,Concrete subcontractor,Client,Location,Country,Region,Lat,Lng,Value,Project type,Work nature,Project stage,Concrete opportunity,Use case,Competitor present,Expected concrete start,Expected completion,Summary,Source,Status,Verified,Notice URL,AE,Notes,Enrich,Build contacts,Create deal,Announced,Tender deadline,Fit,Fit profile,Fit reason,Fit dimensions,Product fit,Partner route,SDR,Value band
MORGAN SINDALL INFRASTRUCTURE - Sellafield SRP (Product & Residue Store Retreatment Plant) - Cumbria,"Delivered through Sellafield's Programme and Project Partners: KBR, Amentum, Morgan Sindall Infrastructure and Altrad Babcock, supported by a wider supply chain. Morgan Sindall Infrastructure is separately the IDP electrical distribution partner (c.£1.3bn), supported by design partners GHD and Baker Hicks.",,Sir Robert McAlpine holds the PPP groundworks and concrete structures framework under which civils for PPP projects are delivered.,Sellafield Ltd (Nuclear Decommissioning Authority),"Sellafield site, Seascale, west Cumbria",United Kingdom,uk,54.42,-3.498,,Nuclear,New build,Main works / on site,,,Not established.,"Complete. First base slab pour February 2020; active commissioning targeted 2027, operation to about 2060.",,"The Product and Residue Store Retreatment Plant is one of the largest and most complex projects under way at Sellafield, delivered through the Programme and Project Partners model. Main construction of the 30-metre-tall facility began in February 2020 with the first concrete pour for the base slab. Ready for active commissioning in 2027 and expected to operate until about 2060. LTi Metaltech was awarded a contract worth more than £45m in February 2026 to manufacture and supply storage containers.",NEWS,New,__YES__,https://www.world-nuclear-news.org/articles/contract-for-sellafield-plutonium-storage-containers,aled,"AE ROUTING: UNRESOLVED — UK shared patch. RECORD KEPT FOR CONTEXT, NOT PURSUIT — the structure is built. CONFIRMED (World Nuclear News, 24 Feb 2026): 30m height, first base slab pour Feb 2020, active commissioning 2027, operation to c.2060, PPP composition, LTi Metaltech £45m container contract, SRP described as one of the largest and most complex projects at Sellafield. INFERRED: that no meaningful pour remains — derived from the 2020 start and 2027 commissioning date rather than from a statement about structural completion. NOT CONFIRMED: actual structural completion status, any residual civils scope.",__NO__,__NO__,__NO__,,,Low,Mass-concrete civils,"Honest read: the concrete is behind us. Main construction of the 30-metre-tall SRP began in February 2020 with the first base slab pour, and the facility is set to be ready for active commissioning in 2027. Six years on from the first pour and a year from commissioning, the structure is essentially complete and what remains is fit-out, mechanical installation and commissioning. Kept as a record because SRP is described as one of the largest and most complex projects at Sellafield and it is useful context for the SRM and HOCHTIEF records, not because there is a pour to sell.","Timing: LOW — first pour 2020, active commissioning 2027; structure complete. Opportunity: LOW — no meaningful remaining pour. Access: MEDIUM — PPP partners are identifiable. Coverage: MEDIUM — UK shared patch.",Data Hub,Direct,reed,
NO CONTRACTOR IDENTIFIED - Fallowfield Campus Redevelopment - Manchester,"NOT IDENTIFIED IN THIS SWEEP. No contractor, designer or master planner was resolved. This breaches the standing rule that every record names a delivery organisation and is flagged rather than filled with a guess.",,Unknown.,"Not confirmed. The Fallowfield campus is University of Manchester estate, so the university is the probable client, but this is not verified.","Fallowfield Campus, Manchester",United Kingdom,uk,53.44,-2.22,400,Education,New build,PCSA / preconstruction,,,Unknown,"Barbour ABI's April 2026 league table covers projects starting within six months back to six months forward, so a start between roughly October 2025 and October 2026. Not confirmed more precisely.",,"The Fallowfield Campus Redevelopment in Manchester is listed by Barbour ABI as the largest construction project in the North West by total value at £400m, in a league table covering projects with a start date from six months back to six months forward as of April 2026.",MANUAL,New,__NO__,https://barbour-abi.com/top-construction-projects-north-west/,aled,"AE ROUTING: UNRESOLVED — UK shared patch and no contractor to apply the named-account test to. INCOMPLETE RECORD — no delivery organisation identified, which breaches the standing rule. It is included rather than dropped because £400m is the largest project in the region and missing it would be worse than recording it incompletely, but it must not be presented to anyone as a priority target in this state. NEXT ACTION (25 Aug 2026): one targeted search to resolve the contractor and client, then rebuild. CONFIRMED (Barbour ABI North West league table, updated April 2026): project name, £400m value, top ranking by value in the North West, the six-months-either-side start window. INFERRED: University of Manchester as probable client, and student accommodation as probable content — both from the campus name and typology, neither verified. NOT CONFIRMED: contractor, designer, client, scope, unit numbers, storey counts, programme, start date.",__NO__,__NO__,__NO__,,,Medium,Schedule-critical vertical build,"Ranked by Barbour ABI as the single largest construction project in the North West by value at £400m, with a start date inside a twelve-month window either side of April 2026. A campus redevelopment at that value is very likely to include substantial student accommodation, and student accommodation carries the hard external deadline the scoring model rewards — beds must hand over for an academic year, which does most of the selling. Banded Medium on the strength of the value and probable typology alone; it cannot be scored properly until a delivery organisation is known.","Timing: MEDIUM — Barbour ABI places the start within six months either side of April 2026, so likely imminent or just begun. Opportunity: MEDIUM-HIGH — £400m campus scheme, probable student accommodation with repeating plate and fixed academic-year deadlines. Access: LOW — no contractor, no designer, no named team. Coverage: MEDIUM — UK shared patch.",Cure / Signal,Direct,reed,250M+
URBAN SPLASH / IGLOO REGENERATION JV - Festival Gardens - Liverpool,No main contractor appointed. Urban Splash and Igloo Regeneration hold the development JV selected by Liverpool City Council.,,Not applicable at this stage.,"Liverpool City Council (site owner, acquired for £6m in 2015), with Urban Splash / Igloo Regeneration as development partner.","Festival Gardens, 27-acre brownfield site on the banks of the Mersey, Liverpool",United Kingdom,uk,53.362,-2.92,,Residential,New build,PCSA / preconstruction,,,None identified,"Unknown. Gated on a phase one planning application and a main contractor appointment, neither of which has happened.",,"Liverpool City Council selected a joint venture between Urban Splash and Igloo Regeneration to lead development of the 27-acre Festival Gardens brownfield site on the banks of the Mersey, acquired by the council for £6m in 2015 with plans for up to 800 homes. The JV's phase one vision covers 440 homes including an 80-bed extra care scheme and 110 affordable homes.",NEWS,New,__NO__,https://www.placenorthwest.co.uk/north-west-developments-to-watch-out-for-in-2026/,aled,"AE ROUTING: UNRESOLVED — UK shared patch, no contractor. THIN RECORD — snippet-based, kept for a later revisit. CONFIRMED (Place North West, Dec 2025 watchlist): 27-acre site, Mersey location, £6m 2015 council acquisition, up to 800 homes, Urban Splash / Igloo JV selected, phase one of 440 homes including 80-bed extra care and 110 affordable. INFERRED: that the structural system is unlikely to be in-situ concrete — a judgement from typology, not published. NOT CONFIRMED: contractor, structural system, storey heights, programme, whether the phase one planning application has since been submitted.",__NO__,__NO__,__NO__,,,Low,Schedule-critical vertical build,"Up to 800 homes on 27 acres is a real programme eventually, but the first phase of 440 homes was still only at the point of an expected planning application, no contractor is appointed, and low-rise brownfield residential of this type is often delivered in masonry or timber frame rather than in-situ concrete. Low on every dimension that matters now. Kept because the site is large and council-owned, which makes eventual delivery more likely than a purely speculative scheme.","Timing: LOW — planning application for phase one still expected, no contractor. Opportunity: LOW-MEDIUM — 440 homes in phase one, up to 800 overall, but structural system unknown and likely low-rise. Access: LOW — no contractor, no project team. Coverage: MEDIUM — UK shared patch.",Cure / Signal,Direct,reed,
WIRRAL COUNCIL / PROCURE PARTNERSHIPS - North West contractor framework - North West,"Multiple appointed across 13 lots; Procure Partnerships acted as advisor and evaluator. Only one contractor holds each framework place, with the second-ranked bidder as reserve. Named appointees include F. Parkinson among 12 on lot one.",,Not applicable — framework.,"Wirral Council, with the framework available to other public sector bodies across the North West.",North West England; the demolition lot is restricted to Merseyside public bodies.,United Kingdom,uk,53.3727,-3.0738,1200,,New build,PCSA / preconstruction,,,None identified,Call-off dependent. Framework term 1 April 2026 to 31 March 2030.,,"Wirral Council awarded places on a four-year North West contractor framework worth up to £1.2bn including VAT across 13 lots — six construction, six infrastructure and one demolition — run with Procure Partnerships as advisor and evaluator. Works are let through design-and-build or build-only routes using single-stage or two-stage procurement under NEC or JCT. The framework runs 1 April 2026 to 31 March 2030 and is open to other North West public sector bodies; the demolition lot is Merseyside only.",NEWS,New,__YES__,https://www.constructionnews.co.uk/buildings/places-awarded-on-1-2bn-north-west-contractor-framework-20-03-2026/,aled,"AE ROUTING: UNRESOLVED — UK shared patch, no single counterparty. FRAMEWORK NOT PROJECT. CONFIRMED (Construction News, 20 Mar 2026): £1.2bn including VAT, 13 lots split 6 construction / 6 infrastructure / 1 demolition, Procure Partnerships role, 1 Apr 2026 to 31 Mar 2030 term, tender volumes by lot (30/45/48 on lots 1-3, six and eight on lots 12-13), lot one band of £50,000 to £500,000, one holder per place with a reserve, demolition lot Merseyside-only, F. Parkinson among 12 on lot one. INFERRED: that concrete opportunity is minimal — from the value distribution, not stated. NOT CONFIRMED: the full appointee list for the upper-value lots, which is the only part of this worth knowing.",__NO__,__NO__,__NO__,,,Low,Schedule-critical vertical build,"A framework rather than a project, and the tender pattern shows where the volume actually sits: lot one drew 30 tenders, lot two 45 and lot three 48, while the upper-value lots 12 and 13 drew six and eight. That is a framework weighted heavily towards small works — lot one starts at £50,000. Public sector works at that scale carry very little concrete opportunity. Recorded so the decision to skip it is made on evidence rather than by omission.","Timing: MEDIUM — framework runs 1 Apr 2026 to 31 Mar 2030, so call-offs are ahead. Opportunity: LOW — tender volumes concentrated in the lowest value bands. Access: LOW — no single counterparty; dozens of appointees across 13 lots. Coverage: MEDIUM — UK shared patch.",,Direct,reed,250M+
LIVERPOOL CITY COUNCIL (no partner appointed) - Advanced Zoning Programme heat network - Liverpool,"No development partner appointed. Liverpool City Council is procuring, with award targeted 14 October 2026. Council leader: Cllr Liam Robinson.",,Not applicable at this stage.,"Liverpool City Council, under the Department for Energy Security and Net Zero's Advanced Zoning Programme.","Liverpool city centre, with heat sourced potentially from the River Mersey or the Sandon Dock wastewater treatment plant",United Kingdom,uk,53.4084,-2.9916,65,Port / marine,New build,PCSA / preconstruction,,,None identified,"After the targeted 14 October 2026 award, with the development partner contract running from October 2026 into the following year. No construction programme published.",,"Liverpool City Council has begun procurement for a pilot heat network under DESNZ's Advanced Zoning Programme, with a development partner contract valued at £64.8m including VAT running from October 2026. Heat could be drawn from the River Mersey or the Sandon Dock wastewater treatment plant, with the council estimating savings of up to 72,000 tonnes of CO2 a year. Tenders are evaluated on technical skills (52.5%), price (35%) and social value (12.5%), with award targeted for 14 October 2026.",NEWS,New,__YES__,https://www.placenorthwest.co.uk/liverpool-seeks-development-partner-for-65m-heat-network/,aled,"AE ROUTING: UNRESOLVED — UK shared patch, no partner appointed. CONFIRMED (Place North West, 18 Feb 2026): £64.8m including VAT, DESNZ Advanced Zoning Programme, Mersey and Sandon Dock as candidate heat sources, 72,000 tonnes CO2 annual estimate, evaluation weightings, 1 Jul enquiry and 28 Jul submission deadlines, 14 Oct 2026 target award, Cllr Liam Robinson quoted. INFERRED: that concrete content is limited to energy centres, chambers and thrust blocks — from the nature of heat network construction, not from published scope. NOT CONFIRMED: bidders, construction programme, any structural scope in detail.",__NO__,__NO__,__NO__,,,Low,Low-carbon spec-in,"A heat network is buried pipework, energy centres and plant. Concrete appears as energy centre structures, pump chambers and thrust blocks — real but modest, and dwarfed by the mechanical and civils trenching content. The reason not to discard it outright is the carbon framing: the council estimates up to 72,000 tonnes of CO2 saved annually and social value carries 12.5% of the tender score, so a supplier chain that can evidence embodied carbon has a scoring reason to exist. That is a thin MixAI hook, honestly described.","Timing: MEDIUM — procurement live with award targeted 14 Oct 2026, so the partner becomes knowable soon. Opportunity: LOW — energy centre and chamber structures only. Access: LOW — no partner appointed. Coverage: MEDIUM — UK shared patch.",MixAI,Direct,reed,50-250M
BOWMER + KIRKLAND - Castle Leazes Student Village - Newcastle upon Tyne,Bowmer + Kirkland Ltd. North East and Scotland regional director: Ed Besford. B+K began demolition and enabling works June 2024 and holds the main contract.,,"Not published. Note the frame is structural steel with poured floors, so the concrete packages are cores, substructure and composite floor slabs rather than a conventional frame let.","Joint venture between Unite Students (51%, developer, asset manager and operator; CEO Joe Lister, group development director Tom Brewerton) and Newcastle University (49%, contributing the site on a 150-year lease; CFO Nick Collins). Architect: NORR. Planning: Pegasus Group. Landscape: Southern Green.","Castle Leazes, Spital Tongues, Newcastle upon Tyne, overlooking Leazes Moor",United Kingdom,uk,54.982,-1.628,274,Student accommodation,Replacement,Main works / on site,Medium,"Raft / substructure / basement,In-situ frame",None identified,"Under way. Stairwell and lift cores in the first building were completed in April 2026, with the structural steel frame following and the first of eight floors to be poured after that. Phase one completes for the 2028/29 academic year, phase two for 2029/30.",,"Redevelopment of Newcastle University's 1960s 1,250-bed Castle Leazes halls into a 2,009-bed student village, in the first joint venture of its kind in the UK between a university and Unite Students. £274m gross development value, with the construction contract reported at £240m. Two new buildings, each sub-divided into 12 blocks of brick-clad accommodation from four to nine storeys, designed by NORR and targeting Net Zero Carbon in Operation — entirely gas-free, using electrification, on-site generation and air source heat pumps. Gateway 2 approval granted by the Building Safety Regulator; JV and funding finalised December 2025. Phase one delivers 788 beds for the 2028/29 academic year, phase two 1,221 beds for 2029/30.",NEWS,New,__YES__,https://www.constructionnews.co.uk/contracts/bowmer-kirkland-appointed-to-274m-student-housing-job-29-01-2026/,aled,"NEXT ACTION (25 Aug 2026): Aled to route through the existing Unite Students relationship, not through Bowmer + Kirkland cold. Unite is developer and asset manager with 51% and has a national pipeline behind this. IMPORTANT — FRAME TYPE: this is a structural steel frame with poured floors, not a concrete frame. Newcastle University's own March 2026 update describes cores installed, then steel frame, then eight floors poured. Pitch cores, substructure and composite floor slabs; do not walk in talking about a concrete frame. CONFIRMED (Construction News 29 Jan 2026; B+K newsroom; Newcastle University press office Dec 2025 and Mar 2026; Place North East 6 Jan 2026; Unite Group announcements): B+K as main contractor, Ed Besford, £274m GDV and £240m construction figure, 2,009 beds replacing 1,250, Gateway 2 approval, JV split 51/49, 150-year lease, £70m Unite equity, phase splits and academic-year deadlines, NORR design, four-to-nine storey brick-clad blocks, two buildings of 12 blocks each, cores complete April 2026, steel frame and eight poured floors, demolition from June 2024, £9.6m social value delivered, B+K's 3,000 rooms for Unite nationally and prior Newcastle University work (Stephenson Building, Catalyst, Urban Sciences), Net Zero Carbon in Operation target, 1,600-bed nominations agreement. INFERRED: nothing material. NOT CONFIRMED: concrete volumes, floor cycle target, frame subcontractor, whether any embodied-carbon requirement exists — the published sustainability target is operational, which weakens the MixAI angle.",__YES__,__YES__,__YES__,2026-01-29,,High,Schedule-critical vertical build,"The strongest access position in the entire UK sweep so far. Unite Students is one of Aled's named accounts and is the majority JV partner, developer, asset manager and operator — so coverage is resolved outright and the relationship route already exists. On top of that the timing is real: Gateway 2 approval was granted, the JV and funding are closed, the first building's stairwell and lift cores were completed in April 2026, and eight floors are still to be poured on building one with a second building behind it. The deadline is the hardest kind there is — 788 beds must be occupiable for the start of the 2028/29 academic year and 1,221 more for 2029/30. Students arrive on a fixed date whether the building is finished or not.","Timing: HIGH — cores complete April 2026, eight floors to pour on building one, building two entirely ahead, running to 2029/30. Opportunity: MEDIUM-HIGH — 2,009 beds across two buildings sub-divided into 12 blocks each, four to nine storeys, highly repetitive; but the frame is steel, so pour volume is cores, substructure and composite slabs rather than a full frame. Access: HIGH — Unite Students is a named Aled account and is the majority partner and developer. Coverage: HIGH — named account resolves UK routing outright.","Cure / Signal,Data Hub",Direct,reed,250M+
"BALFOUR BEATTY / TECHNIP ENERGIES / GE VERNOVA - Net Zero Teesside Power - Redcar, Teesside","Consortium led by Technip Energies with GE Vernova, alongside construction partner Balfour Beatty, for the onshore power, capture and compression package. Costain holds the EPC for the onshore CO2 gathering system and gas connection, having completed the FEED. Wood holds the integrated projects management team contract. TechnipFMC delivers the subsea injection system. Nine EPC contracts across eight packages in total.",,Not published. Cavendish Northern (Billingham) holds piping prefabrication; Adey Steel and px group also named in the contractor set.,"Net Zero Teesside Power — a joint venture between bp and Equinor. CO2 transport and storage by the Northern Endurance Partnership (bp, Equinor, TotalEnergies). Backed by UK Government Track-1 CCUS funding.","Redcar, Teesside — with CO2 transport and storage infrastructure running offshore to the North Sea",United Kingdom,uk,54.61,-1.12,4000,,New build,Main works / on site,Large,"Mass concrete,Piling / foundations",Not established. A project of this scale and regulatory profile is likely to have structural monitoring already specified — check before pitching.,"Under way. Construction began mid-2025 with operations targeted for 2028. Barrier is delivering the turbine hall HVAC engineering phase, which indicates the turbine hall building programme is live.",,"Net Zero Teesside Power is building a 742MW combined cycle gas power plant with 2Mtpa carbon capture at Redcar, alongside the Northern Endurance Partnership CO2 transport and storage infrastructure. Contracts worth £4bn were awarded across nine EPC contracts and eight packages. Technip Energies and GE Vernova lead the onshore power, capture and compression package using Cansolv technology licensed from Shell, with Balfour Beatty as construction partner; Costain holds the EPC for the onshore CO2 gathering system and gas connection; Wood holds integrated project management. Construction started mid-2025 with operations expected in 2028. NZT and NEP have awarded more than 250 UK subcontracts worth over £2bn and support more than 3,000 construction jobs. The East Coast Cluster targets 20-30Mt of CO2 a year by 2030, with injection potentially starting in 2028.",NEWS,New,__YES__,https://www.newcivilengineer.com/latest/east-coast-ccus-cluster-over-230-contracts-worth-1-5bn-awarded-to-uk-suppliers-to-date-27-03-2026/,aled,"AE ROUTING: UNRESOLVED — UK shared patch, neither Balfour Beatty nor Costain is a named account. CROSS-REFERENCE: Costain now appears three times across this sweep (Sellafield IDP utilities partner, TfL station upgrades framework, and here). That is an account argument rather than three project arguments and should be raised at triage. CONFIRMED (The Chemical Engineer; NCE 27 Mar 2026; Tees Business 27 Mar 2026; Teesside Live 1 Apr 2026; Insider Media 22 Jun 2026): 742MW CCGT, 2Mtpa capture, £4bn across nine EPCs and eight packages, bp/Equinor JV, NEP composition, Technip Energies and GE Vernova lead with Cansolv, Balfour Beatty as construction partner, Costain EPC for CO2 gathering and gas connection after FEED, Wood on IPMT, TechnipFMC subsea, Cavendish Northern piping prefabrication at Billingham, Barrier on turbine hall HVAC, mid-2025 construction start, 2028 operations, 3,000 construction jobs, 250+ subcontracts worth £2bn+, 20-30Mtpa cluster target, £9.4bn government capital budget across the Spending Review period. INFERRED: that turbine hall, absorber and compressor foundations are thick-section mass concrete with tight machine-base tolerances — true of CCGT and capture plant generally, not published for NZT. NOT CONFIRMED: any concrete volumes, the civils subcontractor, existing structural monitoring, how much of the foundation programme is already complete.",__YES__,__YES__,__NO__,,,High,Mass-concrete civils,"A 742MW combined cycle gas turbine plant with 2Mtpa carbon capture is heavy industrial civils: turbine hall foundations, absorber and compressor bases, tank foundations and pipe racks, all thick sections with high consequence of failure and demanding tolerance on machine bases. Construction started mid-2025 with operations targeted for 2028, so a substantial share of the civils programme is live now. Access is unusually good for a project this size — Balfour Beatty is named construction partner and Costain holds a separate EPC, and Costain already appears twice elsewhere in this sweep (Sellafield IDP and the TfL framework), so a single account conversation reaches three live programmes. The MixAI angle is real rather than decorative here, because the entire commercial rationale of the project is carbon reduction and someone has to evidence it.","Timing: MEDIUM-HIGH — construction began mid-2025 for 2028 operations, so foundations are partly done but a large programme remains through 2027. Opportunity: HIGH — turbine hall, capture train and compression foundations are thick-section mass concrete with machine-base tolerances. Access: HIGH — Balfour Beatty and Costain both named and both identifiable; Costain is a recurring name across this sweep. Coverage: MEDIUM — UK shared patch, no named account, though Costain recurring makes an account case.","Cure / Signal,Data Hub,MixAI",Direct,reed,250M+
QTS (BLACKSTONE) - Blyth hyperscale data centre campus - Northumberland,No main contractor identified for the vertical build. QTS (owned by Blackstone) is the developer. Arcadis advised on the first reserved matters approval covering Phase A enabling works.,,Unknown.,"QTS Data Centers, owned by Blackstone. Landowner context: the former Blyth Power Station site. Part of the North East's AI Growth Zone announced in September.","Former Blyth Power Station site, Cambois, Blyth, Northumberland — 54-hectare Phase A area within a larger campus",United Kingdom,uk,55.15,-1.52,10000,Power & transmission,New build,Groundbreaking / enabling works,Large,"Mass concrete,Raft / substructure / basement,Culverts / ancillary structures",Unknown,"Phase A enabling works (compounds, vegetation clearance, perimeter fencing and extensive earthworks) roll out in stages over 16 months to autumn 2026. Structural concrete follows main works procurement; no date published.",,"QTS, owned by Blackstone, secured outline consent for a £10bn hyperscale data centre campus at the former Blyth Power Station site in Northumberland, covering up to 10 data centre buildings totalling 540,000 sq m plus substations, emergency generators and ancillary structures. Preparatory works were signed off for the first stage, with the first reserved matters approval covering Phase A enabling works — compounds, vegetation clearance, perimeter fencing and extensive earthworks — rolling out in stages over 16 months to autumn 2026 across a 54-hectare site. Arcadis advised. The campus uses QTS's closed-loop water system and is expected to generate 1,200 long-term construction jobs. It is a key feature of the North East's AI Growth Zone, with energy capacity at the Blyth site to be increased to 1.1GW over six years.",NEWS,New,__YES__,https://www.constructionenquirer.com/2025/08/26/green-light-for-10bn-data-hub-prep-works-in-northumberland/,aled,"AE ROUTING: UNRESOLVED — no contractor appointed. Also note QTS/Blackstone is a US-parented owner, so if the relationship develops group-side rather than site-side the territory answer may not be UK at all. Flagging, not deciding. NEXT ACTION (Q4 2026): Phase A enabling completes around autumn 2026. Watch for the main works contractor appointment — that single event turns the strongest opportunity in the region into a workable one. CONFIRMED (Construction Enquirer 26 Aug 2025; Place North East Dec 2025 watchlist; Glenigan): QTS/Blackstone ownership, £10bn, outline consent for up to 10 buildings totalling 540,000 sq m plus substations, generators and ancillary structures, Phase A reserved matters, 54 hectares, 16-month enabling programme to autumn 2026, Arcadis advisory role, closed-loop water system, 1,200 long-term construction jobs, AI Growth Zone designation, Blyth energy capacity rising to 1.1GW over six years. INFERRED: that slab and raft work dominates and that ten buildings gives high repeatability — true of hyperscale campuses generally, not published for Blyth. NOT CONFIRMED: main contractor, building-by-building programme, floor areas per building, concrete volumes, slab specification or tolerance requirements, whether all ten buildings will actually proceed.",__YES__,__NO__,__NO__,,,High,Mass-concrete civils,"Up to ten data centre buildings totalling 540,000 sq m on one campus is the single largest repeatable slab and raft programme identified anywhere in this UK sweep. Repeatability is the strongest signal in the mass-concrete profile and ten near-identical buildings is as repeatable as it gets — a saving on one slab pour multiplies ten times over, before counting substations, generator bases and ancillary structures. The timing is also right: Phase A enabling works run in stages over 16 months to autumn 2026, which means the main build procurement is happening now and the vertical contractor is not yet appointed. That is the moment to be known. The only weak dimension is access, and it is weak for a reason that will resolve itself within months.","Timing: HIGH — Phase A enabling runs to autumn 2026; main construction procurement is imminent and no vertical contractor is appointed. Opportunity: HIGH — up to ten buildings totalling 540,000 sq m, plus substations, emergency generators and ancillary structures; the largest repeatable slab programme in the sweep. Access: LOW today — no main contractor exists, and Blackstone-owned hyperscale developers procure through their own channels. Coverage: MEDIUM — UK shared patch; QTS/Blackstone is a US parent, so a group relationship could sit elsewhere.","Cure / Signal,Data Hub,MixAI",Direct,reed,250M+
NO DEVELOPMENT PARTNER APPOINTED (Avison Young procuring) - Forth Yards - Newcastle upon Tyne,"No development partner or contractor appointed. Procurement of a public-private delivery partner is led by Avison Young, with award expected October 2026. Lead architect: FaulknerBrowns.",,Not applicable at this stage.,"Partnership of Homes England (chair Pat Ritchie), Newcastle City Council, the North East Combined Authority and Network Rail.","Forth Yards, Newcastle upon Tyne — the city's last major undeveloped brownfield site, a gateway to the city by road and rail",United Kingdom,uk,54.966,-1.625,330,Rail / metro,New build,PCSA / preconstruction,,Marine / water-retaining,None identified,"After the October 2026 delivery partner award, then phased. The 2026 milestone is the appointment itself; construction phasing follows masterplan finalisation.",,"Forth Yards is a city-shaping initiative led by Homes England with Newcastle City Council, the North East Combined Authority and Network Rail, covering Newcastle's last major undeveloped brownfield site and a gateway to the city by road and rail. The vacant site will contain 2,500 homes at a value of £330m. Procurement of a public-private delivery partner, led by Avison Young, is expected to conclude in 2026 with award expected in October, marking the transition from enabling works into full-scale development and setting the stage for phased construction across the district. FaulknerBrowns is lead architect. Within the wider area, Hines and Olympian Homes are progressing Pottery Lane, more than 500 low-carbon BTR homes forming the city's largest multifamily development, all-electric and powered by geothermal heat pumps and on-site solar PV, with two blocks due in 2026 and 2027.",NEWS,New,__YES__,https://www.constructionenquirer.com/2025/10/29/developer-hunt-starts-for-330m-newcastle-site/,aled,"AE ROUTING: UNRESOLVED — no delivery partner appointed. POSSIBLE DUPLICATE: Glenigan separately reports a Newcastle City Council 'Quay West' development at £330m with 1,500 homes in multi-storey blocks and £122m of government funding, outline granted. Same headline value, same riverside city, different name and unit count. These may be the same scheme, overlapping parcels or genuinely separate. Resolve before working either. NEXT ACTION (Oct 2026): watch for the Avison Young-led delivery partner award. That is the trigger to rebuild and reband. CONFIRMED (Construction Enquirer 29 Oct 2025; Place North East Dec 2025 watchlist and Dec 2024): £330m, 2,500 homes, Homes England / Newcastle City Council / NECA / Network Rail partnership, Pat Ritchie quoted, Avison Young leading procurement, award expected October 2026, transition from enabling works to full development, FaulknerBrowns as lead architect, Hines/Olympian Pottery Lane at 500+ BTR homes with geothermal and PV, two blocks in 2026 and 2027. INFERRED: nothing material. NOT CONFIRMED: delivery partner, contractor, phasing, storey heights, structural systems, whether Pottery Lane sits inside the Forth Yards boundary or adjacent to it.",__NO__,__NO__,__NO__,,,Medium,Schedule-critical vertical build,"2,500 homes at £330m on Newcastle's last major undeveloped brownfield site, with Homes England, the city council, the combined authority and Network Rail all behind it — that combination of public backing makes eventual delivery considerably more likely than a speculative scheme of the same size. The delivery partner award is expected in October 2026, which is close enough to be actionable and marks the transition from enabling works into full-scale development. Medium rather than High only because nobody is appointed yet, the masterplan is still being shaped, and phased construction across a district of this size means no single pour date exists.","Timing: MEDIUM-HIGH — delivery partner award expected October 2026, marking transition from enabling works to development. Opportunity: HIGH — 2,500 homes across a phased district. Access: LOW — no partner or contractor appointed; FaulknerBrowns is the only named delivery-side organisation. Coverage: MEDIUM — UK shared patch.","Cure / Signal,Data Hub",Direct,reed,250M+
HINES / OLYMPIAN HOMES - Pottery Lane build-to-rent - Newcastle upon Tyne,No main contractor named in the source. Hines is developer in partnership with Olympian Homes.,,Not published.,Hines with Olympian Homes,"Pottery Lane, Newcastle upon Tyne — riverside, within or adjacent to the Forth Yards area",United Kingdom,uk,54.965,-1.628,,Residential,Phase of larger scheme,Main works / on site,,,None identified,Under way. Two blocks are due for delivery in 2026 and 2027 respectively.,,"Hines, in partnership with Olympian Homes, is building more than 500 build-to-rent low-carbon homes at Pottery Lane on Newcastle's riverside within the Forth Yards area. Pottery Lane will form the city's largest multifamily development and is an all-electric scheme powered by geothermal heat pumps and on-site solar PV, making it net-zero enabled from day one. Two blocks are being delivered, in 2026 and 2027.",NEWS,New,__NO__,https://www.placenortheast.co.uk/what-to-watch-north-east-projects/,aled,"AE ROUTING: UNRESOLVED — UK shared patch, no contractor named, and Hines is a US-parented developer which may complicate a group-level view. STALE SOURCE: built on a December 2024 Place North East watchlist. Verify current status. NEXT ACTION: identify the main contractor — without one this cannot be worked, and it is likely already appointed given block one delivers in 2026. CONFIRMED (Place North East, Dec 2024 watchlist): Hines with Olympian Homes, 500+ BTR low-carbon homes, city's largest multifamily development, all-electric with geothermal heat pumps and on-site solar PV, net-zero enabled from day one, two blocks in 2026 and 2027, Forth Yards location. INFERRED: that block one is complete or near complete by August 2026 — from the stated 2026 delivery, not confirmed. NOT CONFIRMED: main contractor, storey heights, structural system, whether any embodied carbon commitment exists behind the low-carbon framing, current construction status.",__NO__,__NO__,__NO__,,,Medium,Low-carbon spec-in,"More than 500 BTR homes described as the city's largest multifamily development, with two blocks delivering in 2026 and 2027 — so one block is live and a second follows, which is the pattern that lets a cycle improvement be proven on one and applied to the other. The carbon positioning is stronger than most: all-electric, geothermal heat pumps, on-site solar PV, explicitly net-zero enabled from day one and described as low carbon in the scheme's own framing. That said, every published measure is operational rather than embodied, so the MixAI angle needs testing rather than assuming. Medium because no main contractor is named and the source is a 2024 watchlist.","Timing: MEDIUM — block one delivering 2026, block two 2027, so part of the programme remains. Opportunity: MEDIUM — 500+ BTR homes across two blocks, repeating plate, rent clock at handover. Access: LOW — no main contractor named. Coverage: MEDIUM — UK shared patch; Hines is a US-parented developer, worth noting.","Cure / Signal,MixAI",Direct,reed,
